event_type,sub_event_type,actor1,inter1,admin2,source_scale,fatalities
Violence against civilians,Attack,Armed Drug Suspects (Philippines),3,Negros Oriental,Subnational,2
Battles,Armed clash,NPA: New People's Army,2,Iloilo,National,0
Battles,Armed clash,NPA: New People's Army,2,Camarines Norte,National,1
Battles,Armed clash,Unidentified Armed Group (Philippines),3,Lanao del Sur,National,2
Battles,Armed clash,NPA: New People's Army,2,Agusan del Sur,National,0
Battles,Armed clash,ASG: Abu Sayyaf,2,Sulu,National-International,2
Explosions/Remote violence,Remote explosive/landmine/IED,BIFF: Bangsamoro Islamic Freedom Fighters,2,Cotabato,Subnational-National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Albay,National,1
Explosions/Remote violence,Remote explosive/landmine/IED,BIFF: Bangsamoro Islamic Freedom Fighters,2,Maguindanao,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,National,0
Battles,Armed clash,BIFF: Bangsamoro Islamic Freedom Fighters,2,Maguindanao,National,0
Explosions/Remote violence,Remote explosive/landmine/IED,BIFF: Bangsamoro Islamic Freedom Fighters,2,Maguindanao,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,National,2
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Misamis Oriental,National,0
Strategic developments,Agreement,CPP-NPA-NDF: Communist Party of the Philippines-New People's Army-National Democratic Front,3,Metro Manila,National,0
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Metro Manila,National,1
Violence against civilians,Attack,NPA: New People's Army,2,Negros Oriental,Subnational,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Laguna,National,1
Battles,Armed clash,NPA: New People's Army,2,Metro Manila,National,3
Protests,Protest with intervention,Protesters (Philippines),6,Metro Manila,National-International,0
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Negros Oriental,Subnational,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Davao del Norte,National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Negros Occidental,National,1
Battles,Armed clash,NPA: New People's Army,2,Misamis Oriental,National,1
Strategic developments,Other,Government of the Philippines (2016-),1,Metro Manila,Other-National,0
Strategic developments,Disrupted weapons use,Military Forces of the Philippines (2016-),1,Maguindanao,National,0
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Surigao del Sur,National,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Cagayan,National,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Metro Manila,National,1
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,Other,0
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Negros Occidental,National,1
Battles,Armed clash,NPA: New People's Army,2,Sorsogon,National-International,4
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Misamis Oriental,National,2
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Nueva Ecija,Subnational-National,2
Strategic developments,Agreement,NPA: New People's Army,2,Pampanga,Subnational-National,0
Battles,Armed clash,NPA: New People's Army,2,Bohol,Subnational,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Davao del Sur,National,1
Battles,Armed clash,NPA: New People's Army,2,Isabela,National,1
Strategic developments,Arrests,Police Forces of the Philippines (2016-),1,Cavite,National,0
Violence against civilians,Attack,Armed Drug Suspects (Philippines),3,Batangas,National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Negros Occidental,National,1
Strategic developments,Arrests,Police Forces of the Philippines (2016-),1,Pampanga,National,0
Explosions/Remote violence,Remote explosive/landmine/IED,NPA: New People's Army,2,Eastern Samar,National-International,3
Battles,Armed clash,Unidentified Armed Group (Philippines),3,Negros Oriental,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Laguna,National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Metro Manila,National,1
Battles,Armed clash,NPA: New People's Army,2,Misamis Oriental,Subnational,0
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Maguindanao,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,National,1
Strategic developments,Looting/property destruction,Unidentified Armed Group (Philippines),3,Davao de Oro,National,0
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Maguindanao,National,0
Battles,Armed clash,Armed Drug Suspects (Philippines),3,Metro Manila,National,3
Protests,Peaceful protest,Protesters (Philippines),6,Bohol,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Zamboanga del Norte,National,0
Strategic developments,Agreement,NPA: New People's Army,2,Zamboanga del Norte,National,0
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Agusan del Norte,National,1
Protests,Peaceful protest,Protesters (Philippines),6,Pangasinan,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Davao del Sur,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Davao del Sur,National,2
Protests,Peaceful protest,Protesters (Philippines),6,Iloilo,National,0
Battles,Armed clash,NPA: New People's Army,2,Misamis Oriental,National,1
Protests,Peaceful protest,Protesters (Philippines),6,Camarines Sur,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,Other-National,0
Protests,Peaceful protest,Protesters (Philippines),6,Benguet,Subnational,0
Protests,Peaceful protest,Protesters (Philippines),6,Cagayan,National,0
Strategic developments,Other,Government of the Philippines (2016-),1,Metro Manila,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Aklan,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Antique,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Ilocos Sur,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Negros Occidental,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Capiz,National,0
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Misamis Oriental,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Metro Manila,National,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Benguet,National,1
Battles,Armed clash,NPA: New People's Army,2,Zamboanga del Norte,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Davao del Sur,National,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Oriental Mindoro,National,0
Battles,Armed clash,NPA: New People's Army,2,Lanao del Norte,National,1
Battles,Armed clash,ASG: Abu Sayyaf,2,Sulu,National,5
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,Other,0
Strategic developments,Other,Government of the Philippines (2016-),1,Albay,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,National,0
Strategic developments,Disrupted weapons use,BIFF: Bangsamoro Islamic Freedom Fighters,2,Maguindanao,National,0
Battles,Armed clash,NPA: New People's Army,2,Davao del Sur,National,0
Battles,Armed clash,NPA: New People's Army,2,Rizal,National,3
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,National,2
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Laguna,National,0
Violence against civilians,Attack,NPA: New People's Army,2,Surigao del Sur,National,2
Battles,Armed clash,NPA: New People's Army,2,Agusan del Norte,National,1
Battles,Armed clash,ASG: Abu Sayyaf,2,Sulu,National,0
Battles,Armed clash,ASG: Abu Sayyaf,2,Sulu,National,2
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Cavite,National,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Iloilo,National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Bohol,Subnational,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Cotabato,National,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Pangasinan,National,1
Battles,Armed clash,Armed Drug Suspects (Philippines),3,Cebu,Subnational,2
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Metro Manila,National,0
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Negros Occidental,Subnational-National,1
Battles,Armed clash,Unidentified Armed Group (Philippines),3,Cotabato,National,1
Violence against civilians,Attack,Military Forces of the Philippines (2016-),1,Agusan del Norte,National,2
Protests,Peaceful protest,Protesters (Philippines),6,Benguet,Subnational,0
Battles,Armed clash,NPA: New People's Army,2,Agusan del Norte,Subnational-National,2
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,National,0
Strategic developments,Agreement,NPA: New People's Army,2,Agusan del Sur,National,0
Strategic developments,Arrests,Police Forces of the Philippines (2016-),1,Cavite,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,National,0
Battles,Armed clash,NPA: New People's Army,2,Agusan del Norte,National,0
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Cagayan,National,1
Battles,Armed clash,Dawlah Islamiyah,2,Maguindanao,National,1
Battles,Armed clash,Unidentified Armed Group (Philippines),3,Misamis Oriental,Subnational-National,2
Strategic developments,Looting/property destruction,Unidentified Armed Group (Philippines),3,Zamboanga del Sur,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,National,0
Battles,Armed clash,Unidentified Armed Group (Philippines),3,South Cotabato,National,2
Battles,Armed clash,NPA: New People's Army,2,Davao de Oro,National-International,1
Violence against civilians,Attack,NPA: New People's Army,2,Agusan del Norte,National,0
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Metro Manila,National,1
Protests,Peaceful protest,Protesters (Philippines),6,Albay,National,0
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Cebu,Subnational,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,La Union,National,1
Explosions/Remote violence,Air/drone strike,Military Forces of the Philippines (2016-),1,Maguindanao,National,0
Explosions/Remote violence,Shelling/artillery/missile attack,Dawlah Islamiyah,2,Maguindanao,National,3
Violence against civilians,Attack,NPA: New People's Army,2,Bohol,Subnational,0
Violence against civilians,Attack,Armed Drug Suspects (Philippines),3,Cebu,Subnational-National,1
Battles,Armed clash,ASG: Abu Sayyaf,2,Sulu,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Albay,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Cebu,Subnational,1
Battles,Armed clash,NPA: New People's Army,2,Isabela,National,0
Battles,Armed clash,ASG: Abu Sayyaf,2,Sulu,National,5
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Pangasinan,National,0
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Bohol,Subnational,1
Battles,Armed clash,NPA: New People's Army,2,Negros Occidental,National,0
Explosions/Remote violence,Remote explosive/landmine/IED,Armed Drug Suspects (Philippines),3,Metro Manila,National,1
Strategic developments,Change to group/activity,Government of the Philippines (2016-),1,Metro Manila,Other-National,0
Battles,Armed clash,ASG: Abu Sayyaf,2,Sulu,National,1
Explosions/Remote violence,Remote explosive/landmine/IED,BIFF: Bangsamoro Islamic Freedom Fighters,2,Maguindanao,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Benguet,Subnational,0
Battles,Armed clash,Unidentified Armed Group (Philippines),3,Cavite,National,1
Protests,Peaceful protest,Protesters (Philippines),6,Misamis Oriental,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,National,0
Strategic developments,Disrupted weapons use,Dawlah Islamiyah,2,Maguindanao,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Maguindanao,International,0
Protests,Peaceful protest,Protesters (Philippines),6,Negros Occidental,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Iloilo,National,0
Battles,Armed clash,Maute Group,2,Lanao del Sur,National,0
Battles,Armed clash,ASG: Abu Sayyaf,2,Sulu,National-International,1
Battles,Armed clash,NPA: New People's Army,2,Negros Occidental,National,1
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,National,0
Battles,Armed clash,NPA: New People's Army,2,Negros Occidental,National,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Cebu,Subnational,1
Battles,Armed clash,NPA: New People's Army,2,Palawan,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Benguet,Subnational,0
Violence against civilians,Attack,Armed Drug Suspects (Philippines),3,Metro Manila,National,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Surigao del Sur,National-Regional,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Cebu,National,1
Battles,Armed clash,Armed Drug Suspects (Philippines),3,Tawi-Tawi,National,1
Protests,Peaceful protest,Protesters (Philippines),6,Misamis Oriental,Subnational-National,0
Protests,Peaceful protest,Protesters (Philippines),6,Leyte,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Batangas,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,International,0
Battles,Armed clash,NPA: New People's Army,2,Agusan del Norte,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Negros Occidental,National,0
Battles,Armed clash,NPA: New People's Army,2,Northern Samar,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2010-2016) Philippine Drug Enforcement Agency,1,Maguindanao,National,1
Strategic developments,Arrests,Police Forces of the Philippines (2016-),1,Metro Manila,National,0
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Negros Occidental,National,1
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,National,0
Violence against civilians,Attack,NPA: New People's Army,2,Samar,National,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Cotabato,National,1
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,National,0
Strategic developments,Agreement,NPA: New People's Army,2,Pampanga,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Maguindanao,National,0
Violence against civilians,Attack,NPA: New People's Army,2,Negros Occidental,National,1
Strategic developments,Arrests,Police Forces of the Philippines (2016-),1,Pampanga,National,0
Battles,Armed clash,NPA: New People's Army,2,Samar,National,0
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Metro Manila,National,1
Strategic developments,Looting/property destruction,NPA: New People's Army,2,Negros Oriental,National,0
Explosions/Remote violence,Remote explosive/landmine/IED,BIFF: Bangsamoro Islamic Freedom Fighters,2,Maguindanao,National,0
Battles,Armed clash,NPA: New People's Army,2,South Cotabato,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,Other-National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Iloilo,National,1
Battles,Armed clash,NPA: New People's Army,2,Nueva Ecija,National,2
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,South Cotabato,Subnational-National,1
Battles,Armed clash,NPA: New People's Army,2,Bukidnon,Subnational-National,0
Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of the Philippines (2016-),1,Maguindanao,National,3
Battles,Armed clash,ASG: Abu Sayyaf,2,Sulu,National,0
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,La Union,National,1
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,National,0
Battles,Armed clash,Armed Drug Suspects (Philippines),3,Maguindanao,National,0
Battles,Armed clash,NPA: New People's Army,2,Camarines Sur,National,0
Battles,Armed clash,Unidentified Armed Group (Philippines),3,Ilocos Sur,National,1
Battles,Armed clash,Unidentified Armed Group (Philippines),3,Iloilo,Subnational,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Misamis Oriental,National,1
Battles,Armed clash,NPA: New People's Army,2,Eastern Samar,National-International,7
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Negros Occidental,National,1
Strategic developments,Arrests,Police Forces of the Philippines (2016-),1,South Cotabato,National,0
Battles,Armed clash,BIFF: Bangsamoro Islamic Freedom Fighters,2,Maguindanao,National,0
Violence against civilians,Attack,Unidentified Clan Militia (Philippines),4,Lanao del Sur,National,0
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Cebu,National,2
Battles,Armed clash,BIFF: Bangsamoro Islamic Freedom Fighters,2,Maguindanao,National,3
Strategic developments,Other,Civilians (Philippines),7,Maguindanao,National,0
Riots,Violent demonstration,Rioters (Philippines),5,Metro Manila,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Cebu,National,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Negros Occidental,National,1
Battles,Armed clash,NPA: New People's Army,2,Quezon,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Benguet,Subnational,0
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Metro Manila,National,1
Battles,Armed clash,Armed Drug Suspects (Philippines),3,Bukidnon,Subnational,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-) Prison Guards,1,Samar,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Negros Oriental,Subnational-National,1
Strategic developments,Agreement,NPA: New People's Army,2,Aurora,National,0
Strategic developments,Agreement,NPA: New People's Army,2,Nueva Ecija,National,0
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,South Cotabato,National,1
Battles,Armed clash,NPA: New People's Army,2,Masbate,National,1
Strategic developments,Change to group/activity,Government of the Philippines (2016-),1,Metro Manila,Other-National,0
Strategic developments,Other,Government of the Philippines (2016-),1,Negros Occidental,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Cebu,Subnational,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Negros Oriental,Subnational,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Metro Manila,National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Metro Manila,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Laguna,National,1
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,National,2
Strategic developments,Disrupted weapons use,ASG: Abu Sayyaf,2,Sulu,National,0
Battles,Armed clash,ASG: Abu Sayyaf,2,Sulu,National-International,3
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Cotabato,National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Misamis Oriental,Subnational-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Occidental Mindoro,National,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,La Union,National-International,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Laguna,Local partner-Other,1
Protests,Peaceful protest,Protesters (Philippines),6,Iloilo,Subnational-National,0
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,National,0
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Metro Manila,National,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Bulacan,National,1
Explosions/Remote violence,Remote explosive/landmine/IED,NPA: New People's Army,2,Quezon,National,1
Battles,Armed clash,NPA: New People's Army,2,Samar,National,0
Battles,Armed clash,NPA: New People's Army,2,Quezon,National,0
Battles,Armed clash,NPA: New People's Army,2,Pangasinan,National,0
Battles,Armed clash,NPA: New People's Army,2,Samar,National,0
Battles,Armed clash,Armed Drug Suspects (Philippines),3,Pampanga,National,1
Battles,Armed clash,Armed Drug Suspects (Philippines),3,Pampanga,National,2
Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Philippines),3,Davao del Norte,Local partner-Other,0
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Nueva Ecija,National,1
Battles,Armed clash,NPA: New People's Army,2,Agusan del Norte,National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Surigao del Norte,Subnational-National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,National,2
Strategic developments,Arrests,Police Forces of the Philippines (2016-) Criminal Investigation and Detection Group,1,Negros Occidental,Other-National,0
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,National,0
Battles,Armed clash,ASG: Abu Sayyaf,2,Sulu,National-International,0
Strategic developments,Looting/property destruction,NPA: New People's Army,2,Sarangani,National,0
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Sultan Kudarat,National,1
Battles,Armed clash,Police Forces of the Philippines (2016-) Criminal Investigation and Detection Group,1,Masbate,National,2
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Metro Manila,National,0
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Bukidnon,Local partner-Other,1
Explosions/Remote violence,Remote explosive/landmine/IED,NPA: New People's Army,2,Samar,National,0
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Ilocos Sur,Subnational,1
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,Other-National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Cebu,Subnational,0
Protests,Peaceful protest,Protesters (Philippines),6,Benguet,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,National,0
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Metro Manila,National,0
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Metro Manila,National,1
Strategic developments,Arrests,Police Forces of the Philippines (2016-),1,Quezon,National,0
Violence against civilians,Attack,NPA: New People's Army,2,Bukidnon,Subnational-National,1
Battles,Armed clash,Armed Drug Suspects (Philippines),3,Cebu,National,2
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Laguna,National,2
Explosions/Remote violence,Air/drone strike,Military Forces of the Philippines (2016-),1,Northern Samar,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,National,0
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Cagayan,National,1
Violence against civilians,Attack,Anti-Drug Vigilantes (Philippines),3,Metro Manila,National,2
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Ilocos Sur,National,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Cebu,Subnational-National,1
Battles,Armed clash,Armed Drug Suspects (Philippines),3,Laguna,National,1
Battles,Armed clash,Armed Drug Suspects (Philippines),3,Rizal,National,2
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Nueva Ecija,National,1
Explosions/Remote violence,Air/drone strike,Military Forces of the Philippines (2016-),1,Sultan Kudarat,National,0
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,Subnational,2
Explosions/Remote violence,Remote explosive/landmine/IED,BIFF: Bangsamoro Islamic Freedom Fighters,2,Maguindanao,National,0
Explosions/Remote violence,Grenade,NPA: New People's Army,2,Bukidnon,National,0
Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Philippines),3,Zamboanga del Sur,National,0
Battles,Armed clash,NPA: New People's Army,2,Bohol,Subnational,0
Battles,Armed clash,NPA: New People's Army,2,Mountain Province,National,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Rizal,National,1
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,National,1
Battles,Armed clash,BIFF: Bangsamoro Islamic Freedom Fighters,2,Cotabato,National,7
Violence against civilians,Attack,Police Forces of the Philippines (2016-),1,Bulacan,National,1
Battles,Armed clash,NPA: New People's Army,2,Isabela,National,1
Violence against civilians,Attack,Unidentified Armed Group (Philippines),3,Bulacan,National,1
Strategic developments,Agreement,NPA: New People's Army,2,Bukidnon,National,0
Battles,Armed clash,NPA: New People's Army,2,Isabela,National,1
Protests,Peaceful protest,Protesters (Philippines),6,Cagayan,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Isabela,National,0
Protests,Peaceful protest,Protesters (Philippines),6,Metro Manila,National,0
